,word,len,freq,avg
720,v,1,124,0.0
721,wife,4,252,0.0
722,louise,6,27,0.0
723,great,5,239,0.0
724,britain,7,92,0.0
725,water,5,353,0.0
726,flowing,7,63,0.0
727,apple,5,70,0.0
728,label,5,51,0.0
729,founded,7,372,0.0
730,beatles,7,13,0.0
731,corps,5,37,0.0
732,ltd,3,16,0.0
733,additional,10,47,0.0
734,burke,5,10,0.0
735,rutherford,10,12,0.0
736,combined,8,52,0.0
737,form,4,285,0.5
738,mcdowell,8,5,0.0
739,london,6,400,0.0
740,famous,6,129,0.0
741,trafalgar,9,2,0.0
742,square,6,88,0.0
743,named,5,549,0.0
744,honour,6,30,0.0
745,nelson,6,35,0.0
746,victory,7,81,0.0
747,statue,6,25,0.0
748,column,6,10,0.0
749,finished,8,229,0.0
750,towers,6,16,0.0
751,triumphantly,12,1,1.0
752,over,4,639,0.0
753,flies,5,7,0.0
754,literal,7,2,0.0
755,translation,11,18,0.0
756,beelzebub,9,1,0.0
757,husband,7,76,0.0
758,railway,7,108,0.0
759,worker,6,13,0.0
760,died,4,574,0.0
761,aged,4,94,0.0
762,after,5,1447,0.0
763,marriage,8,83,0.0
764,bishara,7,3,0.0
765,addressed,9,9,0.0
766,rally,5,8,0.0
767,supporters,10,17,0.0
768,nazareth,8,3,0.0
769,via,3,77,0.0
770,telephone,9,6,0.0
771,neith,5,1,1.0
772,deities,7,6,0.0
773,associated,10,84,0.0
774,egyptian,8,45,0.0
775,culture,7,63,0.0
776,controls,8,14,0.0
777,link,4,25,0.0
778,using,5,115,0.0
779,wii,3,73,0.0
780,remote,6,25,0.0
781,nunchuk,7,5,0.0
782,configuration,13,19,0.0
783,boeing,6,69,0.0
784,c,1,230,0.0
785,stratoliner,11,1,0.0
786,vip,3,2,0.6666666666666666
787,transport,9,40,0.0
788,aircraft,8,130,0.0
789,derived,7,70,0.0
790,jet,3,23,0.0
791,airliner,8,11,0.0
792,force,5,150,0.0
793,gordon,6,22,0.0
794,escapes,7,6,0.0
795,found,5,346,0.0
796,john,4,420,0.0
797,blake,5,13,0.0
798,gordonlevitt,12,1,0.0
799,patrol,6,4,0.0
800,officer,7,71,0.0
801,chattanooga,11,4,0.0
802,fourthlargest,13,11,0.0
803,cutlass,7,2,0.0
804,calais,6,4,0.0
805,replaced,8,112,0.0
806,oldsmobile,10,2,0.0
807,achieva,7,1,1.0
808,james,5,173,0.0
809,rupert,6,7,0.0
810,jacob,5,13,0.0
811,murdoch,7,5,0.0
812,younger,7,55,0.0
813,media,5,80,0.0
814,mogul,5,3,0.0
815,chief,5,100,0.0
816,executive,9,87,0.0
817,st,2,389,0.0
818,century,7,285,0.0
819,fox,3,70,0.0
820,length,6,68,0.0
821,catchment,9,7,0.0
822,located,7,1104,0.0
823,western,7,306,0.0
824,finland,7,98,0.0
825,southwest,9,105,0.0
826,edmonton,8,28,0.0
827,municipal,9,66,0.0
828,change,6,57,0.0
829,pigment,7,5,0.0
830,color,5,88,0.0
831,code,4,56,0.0
832,queens,6,24,0.0
